address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"1082 Pacific St (at Classon Ave), New York City, NY 11238-2957",,30,1,3,2,2,3,https://www.tripadvisor.com/Hotel_Review-g60763-d3849364-Reviews-Pacific_Loft_Guesthouse-New_York_City_New_York.html,2.5,398,Pacific Loft Guesthouse,11 reviews,88
"East 52nd and 2nd avenues, New York City, NY 10022",,37,0,1,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d6541449-Reviews-Javind_Suites-New_York_City_New_York.html,2.5,371,Javind Suites,2 reviews,100
"591 Park Ave, New York City, NY 10065-7309",,53,0,2,0,2,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1913539-Reviews-West_57_Apt_Corporation-New_York_City_New_York.html,2.5,152,West 57 Apt Corporation,4 reviews,100
"360 42nd Street at Ninth Avenue, New York City, NY",,176,1,2,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1990870-Reviews-Elk_Hotel-New_York_City_New_York.html,2.5,498,Elk Hotel,4 reviews,100
"205 W 147th St Apt 5, New York City, NY 10039-3409",,26,0,4,2,2,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1201800-Reviews-NYC_Guesthouse-New_York_City_New_York.html,3.0,239,NYC Guesthouse,8 reviews,83
"31st Street Between Broadway Avenue and 5th Avenue, New York City, NY","Bar / lounge,Children Activities (Kid / Family Friendly),Air conditioning,Clothes rack,Iron,Coffee / tea maker,Kitchenette,Flatscreen TV,Bath / shower,Hair dryer,Microwave,Refrigerator",24,7,11,3,9,1,https://www.tripadvisor.com/Hotel_Review-g60763-d11798431-Reviews-Studio_plus_Apartment-New_York_City_New_York.html,2.5,529,Studio-plus Apartment,31 reviews,89
"21 W 136th St Harlem, New York City, NY 10037-2104",,7,8,6,2,11,3,https://www.tripadvisor.com/Hotel_Review-g60763-d1880282-Reviews-Thomas_Family_B_B-New_York_City_New_York.html,3.0,17,Thomas Family B&B,30 reviews,81
"322 W 57th St, New York City, NY 10019-3701",,86,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d589506-Reviews-Bridgestreet_The_Sheffield-New_York_City_New_York.html,1.0,361,Bridgestreet The Sheffield,1 review,100
"39 W 27th St, New York City, NY 10001-6900","Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Bar / lounge,Refrigerator",104,4,15,0,1,4,https://www.tripadvisor.com/Hotel_Review-g60763-d284904-Reviews-Senton_Hotel-New_York_City_New_York.html,1.5,483,Senton Hotel,24 reviews,100
"11Th Ave & 44Th Street, New York City, NY",,11,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g60763-d15307647-Reviews-Splendid_Apartment_by_Times_SQ-New_York_City_New_York.html,2.0,150,Splendid Apartment by Times SQ,1 review,76
